"1.6 FOV, 9px, density 7",,No. of robots:,1,2,3,,
,,,73.7,278.98,292.22,,
,,,55.36,45.76,56.58,,
,,,60,44.26,60.61,,
,,,61.95,109.06,109.18,,
,,,190.5,151.33,191.94,,
,,,68.9,237.73,238.11,,
,,,70.56,115.78,116.54,,
,,,94.82,124.48,126.11,,
,,,62.18,153.06,153.7,,
,,,69.38,126.91,127.65,,
,,,78.78,119.65,120.22,,
,,,74.34,39.01,75.3,,
,,,64.16,115.46,117.34,,
,,,70.56,70.27,192.96,,
,,,122.66,223.84,224.74,,
,,,,,,,
,,Average (s):,81.19,130.372,146.88,,
,,,,,,,
,,,,,,,
"1 robot, 1.6 FOV, 9px",,Density (kg/m3):,7,6,5,4,3
,,,,,,,
,,,73.7,72.93,72.9,72.8,72.77
,,,55.36,55.26,55.36,55.26,55.26
,,,60,60.26,59.81,59.68,59.68
,,,61.95,62.43,61.89,61.73,61.73
,,,190.5,190.46,190.46,190.4,190.4
,,,68.9,68.86,68.86,68.86,68.9
,,,70.56,70.53,70.53,70.53,70.53
,,,94.82,94.88,94.85,95.3,94.98
,,,62.18,61.98,62.05,62.14,61.98
,,,69.38,69.34,69.34,69.34,69.34
,,,78.78,78.3,78.3,78.37,78.24
,,,74.34,74.3,74.3,74.27,74.27
,,,64.16,63.78,63.36,63.36,63.39
,,,70.56,71.3,70.62,70.5,70.53
,,,122.66,122.62,122.59,122.56,122.59
,,,,,,,
,,Average (s):,81.19,81.14866667,81.01466667,81.00666667,80.97266667
